id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	bigg id	kegg id	kegg pathways	metacyc pathways
rxn10311_c0	=	Cytosol_0	Ga0182879_1062126	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15750[c0] <=> (24)  cpd00014[c0] + (1)  cpd15768[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]				
rxn00642_c0	>	Cytosol_0	Ga0182879_1062122	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	4.2.1.47	-13.9		(1)  cpd00083[c0] => (1)  cpd00001[c0] + (1)  cpd00900[c0]	(1)  GDP-mannose_c0[c0] => (1)  H2O_c0[c0] + (1)  GDP-4-dehydro-D-rhamnose_c0[c0]	GDPMD	R00888	Fructose and mannose metabolism|Amino sugar and nucleotide sugar metabolism	Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Cell-Structure-Biosynthesis|GDPRHAMSYN-PWY|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis|Rhamnose-Biosynthesis|SUGAR-NUCLEOTIDES
rxn01903_c0	=	Cytosol_0	Ga0182879_10116	Phenethylamine:oxygen oxidoreductase (deaminating)_c0		-24.02		(1)  cpd00001[c0] + (1)  cpd00007[c0] + (1)  cpd03161[c0] <=> (1)  cpd00013[c0] + (1)  cpd00025[c0] + (1)  cpd00464[c0]	(1)  H2O_c0[c0] + (1)  O2_c0[c0] + (1)  Phenethylamine_c0[c0] <=> (1)  NH3_c0[c0] + (1)  H2O2_c0[c0] + (1)  alpha-Tolualdehyde_c0[c0]		R02613	Phenylalanine metabolism	2PHENDEG-PWY|AMINE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|Biosynthesis|Degradation|PHENYLALANINE-DEG|Phenolic-Compounds-Degradation|Phenylethylamine-Degradation|SECONDARY-METABOLITE-BIOSYNTHESIS
rxn03239_c0	=	Cytosol_0	(((Ga0182879_101437 or Ga0182879_109159 or Ga0182879_101695 or Ga0182879_104747 or Ga0182879_109358) and Ga0182879_104747) or (Ga0182879_104747 or Ga0182879_101695 or Ga0182879_109358 or Ga0182879_101437 or Ga0182879_109159))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	HACD7	R04737	Fatty acid elongation|Fatty acid degradation	
rxn11962_c0	=	Cytosol_0	(Ga0182879_106743 or Ga0182879_10586)	R02670_c0		-51.03		(4)  cpd00007[c0] + (2)  cpd00483[c0] <=> (2)  cpd00025[c0] + (2)  cpd00067[c0] + (2)  cpd00532[c0] + (1)  cpd03351[c0]	(4)  O2_c0[c0] + (2)  3-Hydroxyanthranilate_c0[c0] <=> (2)  H2O2_c0[c0] + (2)  H+_c0[c0] + (2)  O2-_c0[c0] + (1)  Cinnavalininate_c0[c0]		R02670	Tryptophan metabolism	
rxn00322_c0	>	Cytosol_0	Ga0182879_101312	L-lysine carboxy-lyase (cadaverine-forming)_c0		-3.09		(1)  cpd00039[c0] + (1)  cpd00067[c0] => (1)  cpd00011[c0] + (1)  cpd01155[c0]	(1)  L-Lysine_c0[c0] + (1)  H+_c0[c0] => (1)  CO2_c0[c0] + (1)  Cadaverine_c0[c0]	LYSDC	R00462	Lysine degradation|Tropane, piperidine and pyridine alkaloid biosynthesis	ALKALOIDS-SYN|ARG+POLYAMINE-SYN|Amino-Acid-Degradation|Biosynthesis|Degradation|LYSINE-DEG|N-CONTAINING-SECONDARY-CMPD-SYN|POLYAMSYN-PWY|PWY0-1303|PWY0-461|Polyamine-Biosynthesis|QUINOLIZIDINE-ALKALOIDS|SECONDARY-METABOLITE-BIOSYNTHESIS|Siderophores-Biosynthesis
rxn05063_c0	>	Cytosol_0	Ga0182879_109367	carbamate hydro-lyase_c0		-15.71		(1)  cpd00001[c0] + (1)  cpd01015[c0] => (1)  cpd01101[c0]	(1)  H2O_c0[c0] + (1)  Cyanate_c0[c0] => (1)  Carbamate_c0[c0]		R07315		
rxn05457_c0	=	Cytosol_0	Ga0182879_101041	[Acyl-carrier-protein] acetyltransferase_c0		0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  Myristoyl-ACP_c0[c0] <=> (1)  Myristoyl-CoA_c0[c0] + (1)  ACP_c0[c0]	FAS1_6_c			
rxn04271_c0	=	Cytosol_0	Ga0182879_1051117	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0		-9.8		(1)  cpd00001[c0] + (1)  cpd00003[c0] + (1)  cpd08739[c0] <=> (1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd08740[c0]	(1)  H2O_c0[c0] + (1)  NAD_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienal_c0[c0] <=> (1)  NADH_c0[c0] + (2)  H+_c0[c0] + (1)  trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid_c0[c0]		R06408	Limonene and pinene degradation	
rxn13783_c0	>	Cytosol_0	((Ga0182879_103620 or Ga0182879_101248) and Unknown and Unknown and Unknown and Ga0182879_103410 and Ga0182879_105894 and Unknown and Unknown and Ga0182879_109610 and Ga0182879_10347 and Unknown and Unknown and Unknown and Unknown and Ga0182879_10562 and Unknown and Unknown and Ga0182879_106715 and Unknown and Ga0182879_103123 and Unknown and Unknown and Unknown)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]				
rxn04070_c0	>	Cytosol_0	Ga0182879_10293	pyridoxine 5'-phosphate synthase_c0	2.6.99.2	-22.13		(1)  cpd08289[c0] + (1)  cpd08449[c0] => (2)  cpd00001[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00478[c0]	(1)  1-deoxy-D-xylulose5-phosphate_c0[c0] + (1)  3-Amino-2-oxopropyl phosphate_c0[c0] => (2)  H2O_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Pyridoxine phosphate_c0[c0]	PDX5PS2	R05838	Vitamin B6 metabolism	Biosynthesis|Cofactor-Biosynthesis|PWY0-845|PYRIDOXSYN-PWY|Vitamin-B6-Biosynthesis|Vitamin-Biosynthesis
rxn10231_c0	>	Cytosol_0	(Ga0182879_107418 or Ga0182879_101282)	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]				
rxn12637_c0	=	Cytosol_0	Ga0182879_107411	RXN0-6987.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O_c0[c0] + (1)  gly-asp-L_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Aspartate_c0[c0]	AMPEP13			
rxn03046_c0	=	Cytosol_0	Ga0182879_101228	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase_c0	2.7.3.7	1.93		(1)  cpd00002[c0] + (1)  cpd02519[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd02744[c0]	(1)  ATP_c0[c0] + (1)  Guanidinoethyl methyl phosphate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  N'-Phosphoguanidinoethyl methyl phosphate_c0[c0]		R04388		
rxn09240_c0	=	Cytosol_0	(Ga0182879_101617 and Ga0182879_101616)	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	SADT2			
rxn01219_c0	=	Cytosol_0	Ga0182879_10565	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	CYTK2	R01665	Pyrimidine metabolism	
rxn00179_c0	=	Cytosol_0	Ga0182879_106530	ATP:L-glutamate 5-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] <=> (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  L-Glutamyl 5-phosphate_c0[c0]	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY
rxn01210_c0	>	Cytosol_0	(Ga0182879_104946 and Ga0182879_104946)	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0		-20.65		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00201[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03524[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  10-Formyltetrahydrofolate_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  10-Formyl-THF-L-glutamate_c0[c0]		R01654		
rxn00730_c0	=	Cytosol_0	Ga0182879_107422	Malonyl-CoA:anthranilate N-malonyltransferase_c0	2.3.1.113	-4.05		(1)  cpd00070[c0] + (1)  cpd00093[c0] <=> (1)  cpd00010[c0] + (1)  cpd02014[c0]	(1)  Malonyl-CoA_c0[c0] + (1)  Anthranilate_c0[c0] <=> (1)  CoA_c0[c0] + (1)  N-Malonylanthranilate_c0[c0]		R00989		
rxn00192_c0	>	Cytosol_0	(Ga0182879_106516 or Ga0182879_104713)	acetyl-CoA:L-glutamate N-acetyltransferase_c0		-5.29		(1)  cpd00022[c0] + (1)  cpd00023[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00477[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Glutamate_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  N-Acetyl-L-glutamate_c0[c0]	ACGS	R00259	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis
rxn01218_c0	>	Cytosol_0	Ga0182879_103717	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00206[c0] => (1)  cpd00009[c0] + (1)  cpd00654[c0]	(1)  H2O_c0[c0] + (1)  dCMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Deoxycytidine_c0[c0]	NTD3	R01664	Pyrimidine metabolism	
rxn03456_c0	=	Cytosol_0	(Ga0182879_109249 or Ga0182879_1047165 or Ga0182879_106514)	cyclohexane-1,2-dione acylhydrolase (decyclizing)_c0	3.7.1.11	14.84		(1)  cpd00067[c0] + (1)  cpd03640[c0] <=> (1)  cpd00001[c0] + (1)  cpd03643[c0]	(1)  H+_c0[c0] + (1)  6-Oxohexanoate_c0[c0] <=> (1)  H2O_c0[c0] + (1)  Cyclohexan-1,2-dione_c0[c0]		R05100	Caprolactam degradation	
rxn00509_c0	>	Cytosol_0	Ga0182879_109864	Succinate-semialdehyde:NADP+ oxidoreductase_c0	1.2.1.79	-9.8		(1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd00199[c0] => (1)  cpd00005[c0] + (1)  cpd00036[c0] + (2)  cpd00067[c0]	(1)  H2O_c0[c0] + (1)  NADP_c0[c0] + (1)  4-Oxobutanoate_c0[c0] => (1)  NADPH_c0[c0] + (1)  Succinate_c0[c0] + (2)  H+_c0[c0]	SSALy	R00714	Alanine, aspartate and glutamate metabolism|Tyrosine metabolism|Butanoate metabolism	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|4-Aminobutyraye-Degradation|4AMINOBUTMETAB-PWY|AMINE-DEG|ARGDEG-PWY|ARGININE-DEG|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|Degradation|Energy-Metabolism|GLUTAMATE-DEG|Nicotine-Degradation|ORNARGDEG-PWY|Other-Degradation|P105-PWY|P181-PWY|PWY3O-210|TCA-VARIANTS
rxn02898_c0	>	Cytosol_0	(Ga0182879_10317 or Ga0182879_101481)	O-Succinylbenzoyl-CoA 1,4-dihydroxy-2-naphthoate-lyase_c0		-14.27		(1)  cpd02021[c0] => (1)  cpd00010[c0] + (1)  cpd02295[c0]	(1)  Succinylbenzoyl-CoA_c0[c0] => (1)  CoA_c0[c0] + (1)  1-4-Dihydroxy-2-naphthoate_c0[c0]	NPHS	R04150		
rxn05654_c0	=	Cytosol_0	(Ga0182879_110245 or Ga0182879_11027)	Transport of succinate, extracellular_c0		0		(1)  cpd00036[e0] + (1)  cpd00067[e0] <=> (1)  cpd00036[c0] + (1)  cpd00067[c0]	(1)  Succinate_e0[e0] + (1)  H+_e0[e0] <=> (1)  Succinate_c0[c0] + (1)  H+_c0[c0]	SUCCt2b			
rxn10344_c0	>	Cytosol_0	(Ga0182879_107318 or Ga0182879_10905 or Ga0182879_107332 or Ga0182879_109227)	Lead (Pb+2) ABC transporter_c0		-6.817		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd04097[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd04097[e0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  Pb_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  Pb_e0[e0]				
rxn01547_c0	=	Cytosol_0	Ga0182879_106280	Guanosine aminohydrolase_c0		-8.88		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00311[c0] <=> (1)  cpd00013[c0] + (1)  cpd01217[c0]	(1)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  Guanosine_c0[c0] <=> (1)  NH3_c0[c0] + (1)  Xanthosine_c0[c0]		R02145		AROMATIC-COMPOUNDS-DEGRADATION|Degradation|Guanosine-Nucleotides-Degradation|NUCLEO-DEG|P165-PWY|Purine-Degradation|Urate-Degradation
rxn10336_c0	=	Cytosol_0	(Ga0182879_107612 or Ga0182879_109863)	stearoyl-cardiolipin synthase_c0		0		(2)  cpd15540[c0] <=> (1)  cpd00100[c0] + (1)  cpd15793[c0]	(2)  Phosphatidylglycerol dioctadecanoyl_c0[c0] <=> (1)  Glycerol_c0[c0] + (1)  Stearoylcardiolipin (B. subtilis) _c0[c0]				
rxn02320_c0	=	Cytosol_0	(Unknown and Ga0182879_106275)	5-Amino-2-oxopentanoate:2-oxoglutarate aminotransferase_c0		-2.46		(1)  cpd00024[c0] + (1)  cpd00807[c0] <=> (1)  cpd00023[c0] + (1)  cpd00930[c0]	(1)  2-Oxoglutarate_c0[c0] + (1)  L-histidinol-phosphate_c0[c0] <=> (1)  L-Glutamate_c0[c0] + (1)  imidazole acetol-phosphate_c0[c0]	HIS5	R03243	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
rxn02796_c0	=	Cytosol_0	Ga0182879_102830	chenodeoxycholoyltaurine amidohydrolase_c0	3.5.1.74	-0.46		(1)  cpd00001[c0] + (1)  cpd03246[c0] <=> (1)  cpd00210[c0] + (1)  cpd01663[c0]	(1)  H2O_c0[c0] + (1)  Taurochenodeoxycholate_c0[c0] <=> (1)  Taurine_c0[c0] + (1)  Chenodiol_c0[c0]		R03977	Primary bile acid biosynthesis	
rxn10126_c0	>	Cytosol_0	((Ga0182879_1051109 and Ga0182879_1051110) or Ga0182879_1051107 or Ga0182879_1051108)	succinate dehyrdogenase_c0		-8.12		(1)  cpd00982[c0] + (1)  cpd15560[c0] => (1)  cpd00015[c0] + (1)  cpd00067[c0] + (1)  cpd15561[c0]	(1)  FADH2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (1)  FAD_c0[c0] + (1)  H+_c0[c0] + (1)  Ubiquinol-8_c0[c0]	SUCD4			
rxn10209_c0	>	Cytosol_0	(Unknown and Ga0182879_104923)	anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase_c0		-3.614		(1)  cpd00080[c0] + (1)  cpd11439[c0] => (1)  cpd00010[c0] + (1)  cpd15675[c0]	(1)  Glycerol-3-phosphate_c0[c0] + (1)  fa4coa_c0[c0] => (1)  CoA_c0[c0] + (1)  1-anteisopentadecanoyl-sn-glycerol 3-phosphate_c0[c0]				
rxn10225_c0	=	Cytosol_0	Ga0182879_10126	isohexadecanoyl-phosphatidate cytidylyltransferase_c0		1.07		(1)  cpd00052[c0] + (1)  cpd15682[c0] <=> (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd15688[c0]	(1)  CTP_c0[c0] + (1)  1,2-diisohexadecanoyl-sn-glycerol 3-phosphate_c0[c0] <=> (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0]				
rxn03463_c0	=	Cytosol_0	Ga0182879_11012	R05113_c0		-1.7		(1)  cpd00112[c0] + (1)  cpd03658[c0] <=> (1)  cpd00046[c0] + (1)  cpd00067[c0] + (1)  cpd03659[c0]	(1)  CMP-N-acetylneuraminate_c0[c0] + (1)  GT1a_c0[c0] <=> (1)  CMP_c0[c0] + (1)  H+_c0[c0] + (1)  GQ1_c0[c0]		R05113		
rxn10205_c0	>	Cytosol_0	(Unknown and Ga0182879_104923)	isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase_c0		-3.614		(1)  cpd00080[c0] + (1)  cpd11432[c0] => (1)  cpd00010[c0] + (1)  cpd15671[c0]	(1)  Glycerol-3-phosphate_c0[c0] + (1)  fa11coa_c0[c0] => (1)  CoA_c0[c0] + (1)  1-isoheptadecanoyl-sn-glycerol 3-phosphate_c0[c0]				
rxn05040_c0	>	Cytosol_0	(Ga0182879_102518 and Ga0182879_102518)	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0	4.1.99.12	-20.78		(1)  cpd00171[c0] => (1)  cpd00047[c0] + (1)  cpd00067[c0] + (1)  cpd11225[c0]	(1)  D-Ribulose5-phosphate_c0[c0] => (1)  Formate_c0[c0] + (1)  H+_c0[c0] + (1)  3-4-dihydroxy-2-butanone4-phosphate_c0[c0]	DB4PS	R07281	Riboflavin metabolism	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn01636_c0	=	Cytosol_0	Ga0182879_106516	N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase_c0	2.3.1.35	0		(1)  cpd00023[c0] + (1)  cpd00342[c0] <=> (1)  cpd00064[c0] + (1)  cpd00477[c0]	(1)  L-Glutamate_c0[c0] + (1)  N-Acetylornithine_c0[c0] <=> (1)  Ornithine_c0[c0] + (1)  N-Acetyl-L-glutamate_c0[c0]		R02282	Arginine and proline metabolism	ARGININE-SYN|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN
rxn02090_c0	=	Cytosol_0	Ga0182879_102518	Creatinine iminohydrolase_c0		-7.55		(1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00585[c0] <=> (1)  cpd00013[c0] + (1)  cpd01679[c0]	(1)  H2O_c0[c0] + (1)  H+_c0[c0] + (1)  Creatinine_c0[c0] <=> (1)  NH3_c0[c0] + (1)  N-Methylhydantoin_c0[c0]		R02922	Arginine and proline metabolism	AMINE-DEG|Creatinine-Degradation|Degradation
