Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727791746	2727791746	1.65363636363636e-11	1.819e-13	6	92	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791746/Ramlibacter_MAG/2727791746_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791746/Ramlibacter_MAG/2727791746_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790774	2727790774	2.26666666666667e-11	2.720e-13	16	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790774/Ramlibacter_MAG/2727790774_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790774/Ramlibacter_MAG/2727790774_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791299	2727791299	3.06846153846154e-11	3.989e-13	19	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791299/Ramlibacter_MAG/2727791299_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791299/Ramlibacter_MAG/2727791299_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792426	2727792426	5.46714285714286e-11	7.654e-13	20	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792426/Ramlibacter_MAG/2727792426_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792426/Ramlibacter_MAG/2727792426_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791608	2727791608	1.09533333333333e-10	1.643e-12	16	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791608/Ramlibacter_MAG/2727791608_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791608/Ramlibacter_MAG/2727791608_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794206	2727794206	1.14647058823529e-10	1.919e-12	16	18	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794206/Ramlibacter_MAG/2727794206_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794206/Ramlibacter_MAG/2727794206_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791704	2727791704	1.14647058823529e-10	1.949e-12	16	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791704/Ramlibacter_MAG/2727791704_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791704/Ramlibacter_MAG/2727791704_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790801	2727790801	1.43388888888889e-10	2.581e-12	16	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790801/Ramlibacter_MAG/2727790801_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727790801/Ramlibacter_MAG/2727790801_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792343	2727792343	1.66857142857143e-10	3.411e-12	16	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792343/Ramlibacter_MAG/2727792343_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792343/Ramlibacter_MAG/2727792343_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791920	2727791920	1.66857142857143e-10	3.482e-12	16	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791920/Ramlibacter_MAG/2727791920_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791920/Ramlibacter_MAG/2727791920_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792011	2727792011	1.66857142857143e-10	3.504e-12	15	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792011/Ramlibacter_MAG/2727792011_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792011/Ramlibacter_MAG/2727792011_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791327	2727791327	2.85590909090909e-10	6.283e-12	6	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791327/Ramlibacter_MAG/2727791327_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791327/Ramlibacter_MAG/2727791327_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791756	2727791756	3.74304347826087e-10	8.609e-12	16	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791756/Ramlibacter_MAG/2727791756_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791756/Ramlibacter_MAG/2727791756_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792811	2727792811	4.69166666666667e-10	1.126e-11	13	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792811/Ramlibacter_MAG/2727792811_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792811/Ramlibacter_MAG/2727792811_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791110	2727791110	5.02692307692308e-10	1.300e-11	10	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791110/Ramlibacter_MAG/2727791110_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791110/Ramlibacter_MAG/2727791110_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793059	2727793059	5.02692307692308e-10	1.307e-11	19	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793059/Ramlibacter_MAG/2727793059_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793059/Ramlibacter_MAG/2727793059_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791401	2727791401	1.82259259259259e-09	4.921e-11	17	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791401/Ramlibacter_MAG/2727791401_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791401/Ramlibacter_MAG/2727791401_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794122	2727794122	1.90321428571429e-09	5.329e-11	20	43	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794122/Ramlibacter_MAG/2727794122_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794122/Ramlibacter_MAG/2727794122_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793562	2727793562	2.252e-09	6.565e-11	16	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793562/Ramlibacter_MAG/2727793562_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793562/Ramlibacter_MAG/2727793562_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791613	2727791613	2.252e-09	6.756e-11	16	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791613/Ramlibacter_MAG/2727791613_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791613/Ramlibacter_MAG/2727791613_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793854	2727793854	2.85806451612903e-09	8.860e-11	14	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793854/Ramlibacter_MAG/2727793854_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793854/Ramlibacter_MAG/2727793854_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791532	2727791532	3.809375e-09	1.219e-10	8	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791532/Ramlibacter_MAG/2727791532_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791532/Ramlibacter_MAG/2727791532_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791396	2727791396	4.56060606060606e-09	1.505e-10	14	49	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791396/Ramlibacter_MAG/2727791396_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791396/Ramlibacter_MAG/2727791396_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792246	2727792246	4.66764705882353e-09	1.587e-10	16	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792246/Ramlibacter_MAG/2727792246_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792246/Ramlibacter_MAG/2727792246_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792390	2727792390	5.37428571428571e-09	1.881e-10	16	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792390/Ramlibacter_MAG/2727792390_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792390/Ramlibacter_MAG/2727792390_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791108	2727791108	5.79722222222222e-09	2.087e-10	16	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791108/Ramlibacter_MAG/2727791108_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791108/Ramlibacter_MAG/2727791108_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792615	2727792615	7.7e-09	2.849e-10	20	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792615/Ramlibacter_MAG/2727792615_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792615/Ramlibacter_MAG/2727792615_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792416	2727792416	1.07578947368421e-08	4.088e-10	20	29	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792416/Ramlibacter_MAG/2727792416_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792416/Ramlibacter_MAG/2727792416_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791296	2727791296	1.46410256410256e-08	5.710e-10	8	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791296/Ramlibacter_MAG/2727791296_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791296/Ramlibacter_MAG/2727791296_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791684	2727791684	1.76775e-08	7.071e-10	14	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791684/Ramlibacter_MAG/2727791684_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791684/Ramlibacter_MAG/2727791684_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793202	2727793202	1.81452380952381e-08	7.552e-10	16	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793202/Ramlibacter_MAG/2727793202_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793202/Ramlibacter_MAG/2727793202_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791147	2727791147	1.81452380952381e-08	7.621e-10	16	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791147/Ramlibacter_MAG/2727791147_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791147/Ramlibacter_MAG/2727791147_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794338	2727794338	1.86697674418605e-08	8.028e-10	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794338/Ramlibacter_MAG/2727794338_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794338/Ramlibacter_MAG/2727794338_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792853	2727792853	1.87409090909091e-08	8.246e-10	16	28	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792853/Ramlibacter_MAG/2727792853_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792853/Ramlibacter_MAG/2727792853_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793501	2727793501	1.99755555555556e-08	8.989e-10	13	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793501/Ramlibacter_MAG/2727793501_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793501/Ramlibacter_MAG/2727793501_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792355	2727792355	2.37173913043478e-08	1.091e-09	19	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792355/Ramlibacter_MAG/2727792355_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792355/Ramlibacter_MAG/2727792355_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792068	2727792068	2.38085106382979e-08	1.119e-09	16	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792068/Ramlibacter_MAG/2727792068_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792068/Ramlibacter_MAG/2727792068_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794325	2727794325	4.24166666666667e-08	2.036e-09	16	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794325/Ramlibacter_MAG/2727794325_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794325/Ramlibacter_MAG/2727794325_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791551	2727791551	4.306e-08	2.114e-09	16	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791551/Ramlibacter_MAG/2727791551_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791551/Ramlibacter_MAG/2727791551_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792721	2727792721	4.306e-08	2.153e-09	20	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792721/Ramlibacter_MAG/2727792721_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792721/Ramlibacter_MAG/2727792721_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793587	2727793587	4.33333333333333e-08	2.210e-09	13	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793587/Ramlibacter_MAG/2727793587_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793587/Ramlibacter_MAG/2727793587_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791875	2727791875	4.59423076923077e-08	2.389e-09	12	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791875/Ramlibacter_MAG/2727791875_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727791875/Ramlibacter_MAG/2727791875_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794018	2727794018	5.50555555555556e-08	2.929e-09	15	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794018/Ramlibacter_MAG/2727794018_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794018/Ramlibacter_MAG/2727794018_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792827	2727792827	5.50555555555556e-08	2.973e-09	20	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792827/Ramlibacter_MAG/2727792827_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792827/Ramlibacter_MAG/2727792827_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793163	2727793163	5.86181818181818e-08	3.224e-09	11	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793163/Ramlibacter_MAG/2727793163_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727793163/Ramlibacter_MAG/2727793163_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794092	2727794092	9.18035714285714e-08	5.141e-09	10	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794092/Ramlibacter_MAG/2727794092_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727794092/Ramlibacter_MAG/2727794092_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792310	2727792310	9.39473684210526e-08	5.355e-09	12	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792310/Ramlibacter_MAG/2727792310_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run_LCA/individual_results/2727792310/Ramlibacter_MAG/2727792310_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
