Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727794451	2727794451	5.28433333333333e-09	4.150e-11	13	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794451/Ramlibacter_MAG/2727794451_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794451/Ramlibacter_MAG/2727794451_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792262	2727792262	5.42322461538461e-09	4.614e-11	8	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792262/Ramlibacter_MAG/2727792262_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792262/Ramlibacter_MAG/2727792262_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790763	2727790763	8.03618857142857e-09	7.363e-11	12	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790763/Ramlibacter_MAG/2727790763_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790763/Ramlibacter_MAG/2727790763_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792751	2727792751	8.40807466666667e-09	8.254e-11	11	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792751/Ramlibacter_MAG/2727792751_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792751/Ramlibacter_MAG/2727792751_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792853	2727792853	1.10589e-08	1.158e-10	16	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792853/Ramlibacter_MAG/2727792853_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792853/Ramlibacter_MAG/2727792853_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791947	2727791947	1.19004235294118e-08	1.324e-10	10	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791947/Ramlibacter_MAG/2727791947_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791947/Ramlibacter_MAG/2727791947_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790707	2727790707	1.43377333333333e-08	1.689e-10	16	35	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790707/Ramlibacter_MAG/2727790707_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790707/Ramlibacter_MAG/2727790707_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792659	2727792659	1.72744421052632e-08	2.148e-10	12	30	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792659/Ramlibacter_MAG/2727792659_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792659/Ramlibacter_MAG/2727792659_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792920	2727792920	2.170524e-08	2.841e-10	14	30	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792920/Ramlibacter_MAG/2727792920_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792920/Ramlibacter_MAG/2727792920_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792300	2727792300	3.29320380952381e-08	4.526e-10	20	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792300/Ramlibacter_MAG/2727792300_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792300/Ramlibacter_MAG/2727792300_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793556	2727793556	3.82902909090909e-08	5.513e-10	16	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793556/Ramlibacter_MAG/2727793556_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793556/Ramlibacter_MAG/2727793556_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792822	2727792822	4.51424347826087e-08	6.795e-10	16	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792822/Ramlibacter_MAG/2727792822_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792822/Ramlibacter_MAG/2727792822_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791069	2727791069	4.733744e-08	7.633e-10	8	20	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791069/Ramlibacter_MAG/2727791069_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791069/Ramlibacter_MAG/2727791069_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791156	2727791156	4.733744e-08	7.745e-10	10	32	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791156/Ramlibacter_MAG/2727791156_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791156/Ramlibacter_MAG/2727791156_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793560	2727793560	8.05474285714286e-08	1.395e-09	13	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793560/Ramlibacter_MAG/2727793560_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793560/Ramlibacter_MAG/2727793560_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791792	2727791792	8.05474285714286e-08	1.469e-09	16	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791792/Ramlibacter_MAG/2727791792_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791792/Ramlibacter_MAG/2727791792_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791110	2727791110	8.05474285714286e-08	1.476e-09	10	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791110/Ramlibacter_MAG/2727791110_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791110/Ramlibacter_MAG/2727791110_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793425	2727793425	1.03482482758621e-07	1.964e-09	6	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793425/Ramlibacter_MAG/2727793425_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793425/Ramlibacter_MAG/2727793425_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791264	2727791264	1.350752e-07	2.652e-09	12	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791264/Ramlibacter_MAG/2727791264_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791264/Ramlibacter_MAG/2727791264_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791684	2727791684	1.42646193548387e-07	2.894e-09	14	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791684/Ramlibacter_MAG/2727791684_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791684/Ramlibacter_MAG/2727791684_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791916	2727791916	1.792535e-07	3.754e-09	16	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791916/Ramlibacter_MAG/2727791916_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791916/Ramlibacter_MAG/2727791916_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792668	2727792668	2.43878060606061e-07	5.267e-09	20	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792668/Ramlibacter_MAG/2727792668_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792668/Ramlibacter_MAG/2727792668_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727794442	2727794442	2.674e-07	6.061e-09	6	45	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794442/Ramlibacter_MAG/2727794442_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727794442/Ramlibacter_MAG/2727794442_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792514	2727792514	2.674e-07	6.125e-09	16	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792514/Ramlibacter_MAG/2727792514_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792514/Ramlibacter_MAG/2727792514_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792892	2727792892	2.83401555555556e-07	6.677e-09	20	37	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792892/Ramlibacter_MAG/2727792892_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792892/Ramlibacter_MAG/2727792892_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791725	2727791725	2.90402594594595e-07	7.032e-09	5	18	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791725/Ramlibacter_MAG/2727791725_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791725/Ramlibacter_MAG/2727791725_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793509	2727793509	3.14687578947368e-07	7.826e-09	8	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793509/Ramlibacter_MAG/2727793509_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793509/Ramlibacter_MAG/2727793509_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792914	2727792914	3.23790476190476e-07	8.339e-09	19	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792914/Ramlibacter_MAG/2727792914_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792914/Ramlibacter_MAG/2727792914_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792703	2727792703	3.23790476190476e-07	8.533e-09	6	79	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792703/Ramlibacter_MAG/2727792703_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792703/Ramlibacter_MAG/2727792703_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792902	2727792902	3.23790476190476e-07	8.872e-09	16	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792902/Ramlibacter_MAG/2727792902_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792902/Ramlibacter_MAG/2727792902_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791790	2727791790	3.23790476190476e-07	8.900e-09	8	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791790/Ramlibacter_MAG/2727791790_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791790/Ramlibacter_MAG/2727791790_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793320	2727793320	6.32165581395349e-07	1.779e-08	18	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793320/Ramlibacter_MAG/2727793320_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793320/Ramlibacter_MAG/2727793320_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792018	2727792018	8.03241818181818e-07	2.313e-08	20	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792018/Ramlibacter_MAG/2727792018_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792018/Ramlibacter_MAG/2727792018_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792522	2727792522	8.58005217391304e-07	2.557e-08	11	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792522/Ramlibacter_MAG/2727792522_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792522/Ramlibacter_MAG/2727792522_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791121	2727791121	8.58005217391304e-07	2.583e-08	11	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791121/Ramlibacter_MAG/2727791121_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791121/Ramlibacter_MAG/2727791121_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792845	2727792845	9.65565957446809e-07	2.970e-08	16	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792845/Ramlibacter_MAG/2727792845_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792845/Ramlibacter_MAG/2727792845_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792201	2727792201	1.28383833333333e-06	4.033e-08	16	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792201/Ramlibacter_MAG/2727792201_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792201/Ramlibacter_MAG/2727792201_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791984	2727791984	1.42291102040816e-06	4.563e-08	16	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791984/Ramlibacter_MAG/2727791984_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791984/Ramlibacter_MAG/2727791984_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791108	2727791108	1.4748256e-06	4.826e-08	16	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791108/Ramlibacter_MAG/2727791108_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791108/Ramlibacter_MAG/2727791108_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791608	2727791608	1.62717019607843e-06	5.431e-08	16	34	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791608/Ramlibacter_MAG/2727791608_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791608/Ramlibacter_MAG/2727791608_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793432	2727793432	1.87708923076923e-06	6.388e-08	15	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793432/Ramlibacter_MAG/2727793432_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793432/Ramlibacter_MAG/2727793432_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791147	2727791147	1.92556830188679e-06	6.679e-08	16	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791147/Ramlibacter_MAG/2727791147_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791147/Ramlibacter_MAG/2727791147_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792308	2727792308	2.21390222222222e-06	7.824e-08	16	27	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792308/Ramlibacter_MAG/2727792308_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792308/Ramlibacter_MAG/2727792308_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727791244	2727791244	2.57731927272727e-06	9.277e-08	4	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791244/Ramlibacter_MAG/2727791244_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727791244/Ramlibacter_MAG/2727791244_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727793666	2727793666	4.19381428571429e-06	1.537e-07	6	29	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793666/Ramlibacter_MAG/2727793666_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727793666/Ramlibacter_MAG/2727793666_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727790955	2727790955	4.36006896551724e-06	1.642e-07	5	50	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790955/Ramlibacter_MAG/2727790955_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727790955/Ramlibacter_MAG/2727790955_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792911	2727792911	4.36006896551724e-06	1.655e-07	14	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792911/Ramlibacter_MAG/2727792911_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792911/Ramlibacter_MAG/2727792911_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
2727792500	2727792500	4.36753333333333e-06	1.705e-07	15	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792500/Ramlibacter_MAG/2727792500_codeml/prank/prank.best.fas.translation.view"	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis_run/individual_results/2727792500/Ramlibacter_MAG/2727792500_codeml/prank/prank.best.fas.translation.interleaved.annotated.png"	
