gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2755613937	204	42.78	17	199	5	191	5.5e-45	171	KO:K19302	undecaprenyl-diphosphatase [EC:3.6.1.27]	EC:3.6.1.27	Yes
2755613956	536	65.76	1	536	1	544	0.0e+00	820	KO:K10747	DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	EC:6.5.1.1	Yes
2755613956	536	65.76	1	536	1	544	0.0e+00	820	KO:K10747	DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	EC:6.5.1.6	Yes
2755613956	536	65.76	1	536	1	544	0.0e+00	820	KO:K10747	DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	EC:6.5.1.7	Yes
2755613957	339	67.95	1	337	1	337	0.0e+00	566	KO:K07577	putative mRNA 3-end processing factor		Yes
2755613960	1173	72.8	1	1172	79	1251	0.0e+00	1900	KO:K03529	chromosome segregation protein		Yes
2755613961	318	57.47	11	317	12	315	4.8e-129	422	KO:K08715	inward rectifier potassium channel		Yes
2755613963	147	60.56	6	147	7	148	2.1e-64	221	KO:K03664	SsrA-binding protein		Yes
2755613964	308	71.8	4	308	2	303	0.0e+00	519	KO:K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	EC:6.4.1.2	Yes
2755613965	355	88.17	1	355	1	355	0.0e+00	739	KO:K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	EC:4.1.2.13	Yes
2755613967	276	68.73	2	276	6	280	0.0e+00	449	KO:K00243	uncharacterized protein		Yes
2755613968	452	81.24	1	450	1	453	0.0e+00	882	KO:K01697	cystathionine beta-synthase [EC:4.2.1.22]	EC:4.2.1.22	Yes
2755613970	314	68.47	1	313	1	313	0.0e+00	499	KO:K03621	glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]	EC:2.3.1.15	Yes
2755613971	64	91.67	1	60	1	60	2.2e-36	133	KO:K02911	large subunit ribosomal protein L32		Yes
2755613974	213	64.25	4	210	1	207	5.0e-100	329	KO:K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	EC:2.1.1.170	Yes
2755613976	379	76.52	1	379	1	379	0.0e+00	705	KO:K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	EC:2.4.2.29	Yes
2755613977	367	53.95	1	367	2	366	0.0e+00	470	KO:K11720	lipopolysaccharide export system permease protein		Yes
2755613983	190	74.18	1	182	1	182	2.9e-97	318	KO:K03088	RNA polymerase sigma-70 factor, ECF subfamily		Yes
2755613987	824	44.72	29	817	28	806	0.0e+00	754	KO:K02014	iron complex outermembrane recepter protein		Yes
2755613991	426	78.12	1	425	1	425	0.0e+00	769	KO:K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	EC:2.1.2.1	Yes
2755613992	330	70	1	330	1	330	0.0e+00	552	KO:K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	EC:2.7.7.24	Yes
2755613993	314	75.08	4	304	2	302	0.0e+00	526	KO:K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]	EC:1.3.1.9	Yes
2755613994	498	79.44	1	498	1	500	0.0e+00	898	KO:K00088	IMP dehydrogenase [EC:1.1.1.205]	EC:1.1.1.205	Yes
2755613998	367	55.77	4	366	9	372	0.0e+00	465	KO:K04096	DNA processing protein		Yes
2755614001	292	72.51	1	291	1	291	0.0e+00	484	KO:K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	EC:1.5.1.5	Yes
2755614001	292	72.51	1	291	1	291	0.0e+00	484	KO:K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	EC:3.5.4.9	Yes
2755614007	227	59.47	2	227	5	229	1.8e-89	300	KO:K03630	DNA repair protein RadC		Yes
2755614008	318	82.48	1	314	19	332	0.0e+00	599	KO:K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	EC:2.7.6.1	Yes
2755614009	210	74.04	1	208	1	207	1.4e-107	350	KO:K02897	large subunit ribosomal protein L25		Yes
2755614010	191	68.95	1	190	1	190	6.4e-97	318	KO:K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	EC:3.1.1.29	Yes
2755614012	688	67.2	1	686	1	686	0.0e+00	1080	KO:K11381	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]	EC:1.2.4.4	Yes
2755614022	825	57.59	19	818	23	824	0.0e+00	1050	KO:K01256	aminopeptidase N [EC:3.4.11.2]	EC:3.4.11.2	Yes
2755614024	243	52.67	1	243	1	241	2.8e-95	318	KO:K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	EC:5.4.99.12	Yes
2755614026	354	44.65	28	334	40	356	2.9e-95	328	KO:K01179	endoglucanase [EC:3.2.1.4]	EC:3.2.1.4	Yes
2755614031	395	64	3	395	8	406	0.0e+00	570	KO:K00318	proline dehydrogenase [EC:1.5.-.-]	EC:1.5.-	Yes
2755614032	793	56.67	31	793	25	808	0.0e+00	1020	KO:K02014	iron complex outermembrane recepter protein		Yes
2755614035	302	69.66	13	302	1	288	0.0e+00	453	KO:K03595	GTPase		Yes
2755614037	437	77.52	2	437	3	438	0.0e+00	791	KO:K03977	GTPase		Yes
2755614039	408	68.8	1	407	1	407	0.0e+00	667	KO:K03527	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]	EC:1.17.1.2	Yes
2755614041	163	73.62	1	163	1	157	1.4e-84	280	KO:K07170	GAF domain-containing protein		Yes
2755614042	410	89.76	1	410	1	410	0.0e+00	879	KO:K00031	isocitrate dehydrogenase [EC:1.1.1.42]	EC:1.1.1.42	Yes
2755614048	629	65.76	10	629	8	629	0.0e+00	920	KO:K03322	manganese transport protein		Yes
2755614050	551	77.03	1	551	1	551	0.0e+00	1020	KO:K00688	starch phosphorylase [EC:2.4.1.1]	EC:2.4.1.1	Yes
2755614051	207	70.49	24	206	2	184	4.7e-98	322	KO:K03186	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	EC:4.1.1.98	Yes
2755614059	397	55.69	62	395	10	335	0.0e+00	454	KO:K01218	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]	EC:3.2.1.78	Yes
2755614061	312	42.57	34	300	31	320	1.6e-59	220	KO:K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	EC:3.5.1.28	Yes
2755614062	334	44.82	1	328	1	319	2.9e-96	329	KO:K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein		Yes
2755614065	397	52.76	7	387	4	376	0.0e+00	435	KO:K03313	Na+:H+ antiporter, NhaA family		Yes
2755614066	312	76.7	1	309	52	360	0.0e+00	560	KO:K02836	peptide chain release factor 2		Yes
2755614072	641	69.17	1	639	1	623	0.0e+00	1020	KO:K15738	ATP-binding cassette, subfamily F, uup		Yes
2755614073	143	80.99	1	142	1	142	1.0e-84	278	KO:K03773	FKBP-type peptidyl-prolyl cis-trans isomerase FklB [EC:5.2.1.8]	EC:5.2.1.8	Yes
2755614076	233	71.37	4	233	5	238	2.2e-109	357	KO:K03561	biopolymer transport protein ExbB		Yes
2755614077	134	52.59	1	134	1	135	6.1e-42	156	KO:K03559	biopolymer transport protein ExbD		Yes
2755614080	492	58.1	2	490	3	494	0.0e+00	708	KO:K06876	deoxyribodipyrimidine photolyase-related protein		Yes
2755614082	381	51.31	4	381	6	385	0.0e+00	468	KO:K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	EC:4.1.99.3	Yes
2755614085	118	36.94	1	111	1	111	3.9e-22	97.7	KO:K01633	dihydroneopterin aldolase [EC:4.1.2.25]	EC:4.1.2.25	Yes
2755614086	866	68.42	2	861	3	866	0.0e+00	1350	KO:K03724	ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]	EC:3.6.4.-	Yes
2755614093	274	65.56	1	270	1	266	9.9e-124	402	KO:K01591	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]	EC:4.1.1.23	Yes
2755614096	421	64.34	5	419	2	416	0.0e+00	657	KO:K01556	kynureninase [EC:3.7.1.3]	EC:3.7.1.3	Yes
2755614099	211	63.41	5	209	2	205	1.8e-90	301	KO:K01420	CRP/FNR family transcriptional regulator, anaerobic regulatory protein		Yes
2755614103	390	68.97	1	390	20	409	0.0e+00	614	KO:K11103	aerobic C4-dicarboxylate transport protein		Yes
2755614105	394	83.25	1	394	1	394	0.0e+00	791	KO:K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]	EC:1.3.8.6	Yes
2755614106	170	47.8	1	158	1	159	3.3e-50	183	KO:K00891	shikimate kinase [EC:2.7.1.71]	EC:2.7.1.71	Yes
2755614108	877	64.85	1	876	3	845	0.0e+00	1190	KO:K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family		Yes
2755614112	487	73.66	1	482	1	485	0.0e+00	848	KO:K01880	glycyl-tRNA synthetase [EC:6.1.1.14]	EC:6.1.1.14	Yes
2755614115	150	72.67	1	150	1	150	6.8e-76	254	KO:K07560	D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]	EC:3.1.-	Yes
2755614116	135	61.19	1	134	1	134	8.8e-50	179	KO:K15034	ribosome-associated protein		Yes
2755614118	352	69.88	11	352	3	344	0.0e+00	576	KO:K00428	cytochrome c peroxidase [EC:1.11.1.5]	EC:1.11.1.5	Yes
2755614121	158	78.52	9	157	19	167	4.8e-90	295	KO:K06940	uncharacterized protein		Yes
2755614124	308	39.6	4	301	9	311	5.3e-68	245	KO:K01505	1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	EC:3.5.99.7	Yes
2755614126	304	63.16	77	303	6	252	2.9e-106	355	KO:K03801	lipoyl(octanoyl) transferase [EC:2.3.1.181]	EC:2.3.1.181	Yes
2755614127	349	66.57	8	342	14	348	0.0e+00	534	KO:K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	EC:5.4.99.23	Yes
2755614129	332	82.5	5	324	2	321	0.0e+00	637	KO:K01012	biotin synthase [EC:2.8.1.6]	EC:2.8.1.6	Yes
2755614132	798	76.8	6	797	7	799	0.0e+00	1420	KO:K01338	ATP-dependent Lon protease [EC:3.4.21.53]	EC:3.4.21.53	Yes
2755614135	415	64.1	1	415	1	413	0.0e+00	624	KO:K07098	uncharacterized protein		Yes
2755614138	266	80.83	1	266	1	266	0.0e+00	506	KO:K03496	chromosome partitioning protein		Yes
2755614139	307	72.79	1	305	1	305	0.0e+00	518	KO:K03497	chromosome partitioning protein, ParB family		Yes
2755614141	238	63.87	1	238	1	238	5.4e-109	357	KO:K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	EC:1.17.1.8	Yes
2755614146	274	76.19	2	274	1	273	0.0e+00	489	KO:K01627	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	EC:2.5.1.55	Yes
2755614148	756	86.19	1	753	1	753	0.0e+00	1520	KO:K01681	aconitate hydratase [EC:4.2.1.3]	EC:4.2.1.3	Yes
2755614149	284	32.14	10	279	22	298	9.4e-37	151	KO:K06889	uncharacterized protein		Yes
2755614152	308	55.95	1	307	1	308	1.5e-115	382	KO:K07071	uncharacterized protein		Yes
2755614153	370	30.38	2	317	4	340	6.3e-24	112	KO:K00480	salicylate hydroxylase [EC:1.14.13.1]	EC:1.14.13.1	Yes
2755614156	618	57.75	1	618	1	610	0.0e+00	770	KO:K03531	cell division protein FtsZ		Yes
2755614157	459	74.07	1	458	1	459	0.0e+00	780	KO:K03590	cell division protein FtsA		Yes
2755614158	366	37.16	21	278	4	264	2.0e-59	223	KO:K03589	cell division protein FtsQ		Yes
2755614159	468	61.23	24	468	8	460	0.0e+00	633	KO:K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	EC:6.3.2.8	Yes
2755614160	382	66.3	17	381	18	382	0.0e+00	541	KO:K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	EC:2.4.1.227	Yes
2755614161	456	64.42	17	429	3	412	0.0e+00	598	KO:K03588	cell division protein FtsW		Yes
2755614162	464	72.23	22	464	10	452	0.0e+00	743	KO:K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	EC:6.3.2.9	Yes
2755614163	437	67.43	1	437	1	416	0.0e+00	670	KO:K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	EC:2.7.8.13	Yes
2755614164	487	71.4	3	487	2	487	0.0e+00	828	KO:K01928	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	EC:6.3.2.13	Yes
2755614165	703	55.2	1	703	1	707	0.0e+00	893	KO:K03587	cell division protein FtsI (penicillin-binding protein 3)		Yes
2755614167	318	62.54	12	318	11	317	0.0e+00	450	KO:K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	EC:2.1.1.199	Yes
2755614168	178	65.33	28	176	1	150	9.8e-67	231	KO:K03925	MraZ protein		Yes
2755614170	410	54.85	1	409	1	409	0.0e+00	524	KO:K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	EC:2.4.99.17	Yes
2755614171	441	52.78	1	440	14	460	0.0e+00	499	KO:K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	EC:2.7.13.3	Yes
2755614172	183	52.81	6	183	6	183	2.3e-71	245	KO:K07735	putative transcriptional regulator		Yes
2755614173	218	80.28	1	218	1	218	6.8e-129	411	KO:K01029	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]	EC:2.8.3.5	Yes
2755614174	234	86.15	1	231	1	231	0.0e+00	457	KO:K01028	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	EC:2.8.3.5	Yes
2755614177	396	57.76	1	392	1	393	0.0e+00	519	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	Yes
2755614177	396	57.76	1	392	1	393	0.0e+00	519	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	Yes
2755614179	274	53.94	31	271	21	261	9.2e-95	319	KO:K05807	outer membrane protein assembly factor BamD		Yes
2755614180	261	53.14	58	261	1	196	2.6e-64	231	KO:K03286	OmpA-OmpF porin, OOP family		Yes
2755614182	320	69.16	1	320	1	321	0.0e+00	505	KO:K02523	octaprenyl-diphosphate synthase [EC:2.5.1.90]	EC:2.5.1.90	Yes
2755614183	565	69.49	1	565	11	577	0.0e+00	908	KO:K07462	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	EC:3.1.-	Yes
2755614185	639	70.2	1	638	1	622	0.0e+00	1000	KO:K04079	molecular chaperone HtpG		Yes
2755614193	216	68.22	2	215	6	219	3.5e-105	344	KO:K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	EC:5.1.3.1	Yes
2755614195	632	57.58	1	627	1	639	0.0e+00	775	KO:K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	EC:2.8.1.7	Yes
2755614195	632	57.58	1	627	1	639	0.0e+00	775	KO:K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	EC:4.4.1.16	Yes
2755614196	245	71.84	1	245	1	245	2.5e-127	410	KO:K02066	phospholipid/cholesterol/gamma-HCH transport system permease protein		Yes
2755614197	779	78.21	3	773	2	772	0.0e+00	1410	KO:K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	EC:1.1.1.40	Yes
2755614198	405	64.36	16	404	1	390	0.0e+00	604	KO:K01451	hippurate hydrolase [EC:3.5.1.32]	EC:3.5.1.32	Yes
2755614201	491	77	18	491	25	498	0.0e+00	865	KO:K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	EC:1.2.1.3	Yes
2755614202	303	75.92	5	303	8	306	0.0e+00	517	KO:K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	EC:4.1.2.4	Yes
2755614203	1106	74.46	1	1106	1	1106	0.0e+00	1930	KO:K03070	preprotein translocase subunit SecA		Yes
2755614205	294	80.95	1	294	1	294	0.0e+00	529	KO:K02115	F-type H+-transporting ATPase subunit gamma		Yes
2755614206	247	67.24	1	232	1	226	1.5e-111	365	KO:K06024	segregation and condensation protein B		Yes
2755614207	402	65.09	1	401	1	401	0.0e+00	638	KO:K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	EC:4.1.1.20	Yes
2755614208	259	71.88	1	256	1	256	0.0e+00	438	KO:K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein		Yes
2755614212	309	91.26	1	309	1	309	0.0e+00	638	KO:K00024	malate dehydrogenase [EC:1.1.1.37]	EC:1.1.1.37	Yes
2755614220	228	66.38	5	224	4	238	3.7e-115	373	KO:K03975	membrane-associated protein		Yes
2755614222	497	72.17	2	496	3	504	0.0e+00	817	KO:K03294	basic amino acid/polyamine antiporter, APA family		Yes
2755614226	256	53.21	1	256	5	266	1.4e-88	301	KO:K06872	uncharacterized protein		Yes
2755614228	196	69.9	1	196	1	196	4.0e-96	316	KO:K03744	LemA protein		Yes
2755614230	398	79.09	1	397	1	396	0.0e+00	721	KO:K00927	phosphoglycerate kinase [EC:2.7.2.3]	EC:2.7.2.3	Yes
2755614232	337	85.46	1	337	1	337	0.0e+00	662	KO:K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	EC:1.2.1.12	Yes
2755614233	290	87.89	1	289	1	289	0.0e+00	585	KO:K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	EC:6.2.1.5	Yes
2755614244	613	80.13	1	613	1	608	0.0e+00	1150	KO:K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]	EC:6.1.1.12	Yes
2755614252	421	76.56	4	421	3	419	0.0e+00	723	KO:K07478	putative ATPase		Yes
2755614253	78	96.15	1	78	1	78	1.1e-47	167	KO:K02078	acyl carrier protein		Yes
2755614254	417	82.17	1	415	1	415	0.0e+00	811	KO:K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	EC:2.3.1.179	Yes
2755614255	233	68.09	1	233	4	238	3.1e-117	380	KO:K03685	ribonuclease III [EC:3.1.26.3]	EC:3.1.26.3	Yes
2755614256	133	75.76	1	132	1	132	2.3e-69	233	KO:K05606	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	EC:5.1.99.1	Yes
2755614257	405	80.94	2	405	1	403	0.0e+00	773	KO:K04487	cysteine desulfurase [EC:2.8.1.7]	EC:2.8.1.7	Yes
2755614258	139	86.26	1	131	1	131	1.5e-79	263	KO:K04488	nitrogen fixation protein NifU and related proteins		Yes
2755614259	135	76.15	27	135	2	110	2.3e-57	200	KO:K13628	iron-sulfur cluster assembly protein		Yes
2755614261	488	85.62	16	488	1	473	0.0e+00	945	KO:K01679	fumarate hydratase, class II [EC:4.2.1.2]	EC:4.2.1.2	Yes
2755614263	457	52.22	1	447	1	436	0.0e+00	551	KO:K01206	alpha-L-fucosidase [EC:3.2.1.51]	EC:3.2.1.51	Yes
2755614266	1121	79.84	1	1121	1	1122	0.0e+00	2090	KO:K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	EC:1.17.4.1	Yes
2755614267	251	76.11	1	247	1	247	0.0e+00	432	KO:K07094	putative glycerol-1-phosphate prenyltransferase [EC:2.5.1.-]	EC:2.5.1.-	Yes
2755614269	456	58.73	1	456	1	456	0.0e+00	633	KO:K03545	trigger factor		Yes
2755614270	119	60	5	119	9	123	9.2e-45	163	KO:K09940	uncharacterized protein		Yes
